id,firstName,lastName,birthDate,birthLocation,educationLevel,profession,club,districtNum,districtName,voivodeship,numberOfVotes,active,inactiveCause,waiverDesc,percentOfVoting
1,Andrzej,Adamczyk,1959-01-04,Krzeszowice,wyższe,ekonomista,PiS,13,Kraków,małopolskie,45171,True,,,89.26
2,Piotr,Adamowicz,1961-06-26,Elbląg,średnie ogólne,dziennikarz,KO,25,Gdańsk,pomorskie,23147,True,,,96.64
3,Adam,Andruszkiewicz,1990-06-30,Grajewo,wyższe,parlamentarzysta,PiS,24,Białystok,podlaskie,53632,True,,,84.56
4,Waldemar,Andzel,1971-09-17,Czeladź,wyższe,politolog,PiS,32,Katowice,śląskie,22699,True,,,97.09
5,Dorota,Arciszewska-Mielewczyk,1968-02-16,Gdynia,wyższe,"ekonomista, menedżer",PiS,26,Słupsk,pomorskie,11766,True,,,83.22
6,Jan,Ardanowski,1961-02-11,Czernikowo,wyższe,rolnik,PiS,5,Toruń,kujawsko-pomorskie,28658,True,,,91.95
7,Iwona,Arent,1968-06-04,Olsztyn,wyższe,politolog,PiS,35,Olsztyn,warmińsko-mazurskie,16675,True,,,90.16
8,Bartosz,Arłukowicz,1971-12-30,Resko,wyższe,lekarz,KO,40,Koszalin,zachodniopomorskie,67325,True,,,99.55
9,Marek,Ast,1958-09-27,Zielona Góra,wyższe,"pracownik samorządowy, radca prawny, urzędnik państwowy",PiS,8,Zielona Góra,lubuskie,36365,True,,,93.29
10,Urszula,Augustyn,1964-09-01,Tarnów,wyższe,dziennikarz,KO,15,Tarnów,małopolskie,27047,True,,,99.78
11,Piotr,Babinetz,1969-09-09,Krosno,wyższe,"historyk, muzealnik",PiS,22,Krosno,podkarpackie,12829,True,,,88.59
12,Ryszard,Bartosik,1968-01-11,Turek,wyższe,politolog,PiS,37,Konin,wielkopolskie,25371,True,,,85.46
13,Władysław,Bartoszewski,1955-10-22,Warszawa,wyższe,pracownik naukowy,PSL-TD,19,Warszawa,mazowieckie,34563,True,,,94.18
14,Barbara,Bartuś,1967-07-03,Gorlice,wyższe,prawnik,PiS,14,Nowy Sącz,małopolskie,21250,True,,,98.21
15,Paweł,Bejda,1962-10-13,Łowicz,wyższe,"inżynier mechanik, menedżer",PSL-TD,11,Sieradz,łódzkie,25363,True,,,93.74
16,Konrad,Berkowicz,1984-05-27,Kraków,wyższe,programista,Konfederacja,13,Kraków,małopolskie,36918,True,,,78.08
17,Sylwia,Bielawska,1975-04-27,Głuszyca,wyższe,pracownik samorządowy,KO,2,Wałbrzych,dolnośląskie,17577,True,,,100.0
18,Marek,Biernacki,1959-04-28,Sopot,wyższe,prawnik,PSL-TD,26,Słupsk,pomorskie,34369,True,,,82.33
19,Paweł,Bliźniuk,1986-10-11,Łódź,średnie ogólne,pracownik administracji samorządowej,KO,9,Łódź,łódzkie,12315,True,,,100.0
20,Mariusz,Błaszczak,1969-09-19,Legionowo,wyższe,urzędnik państwowy,PiS,20,Warszawa,mazowieckie,127578,True,,,95.3
21,Mateusz,Bochenek,1993-03-12,Sosnowiec,wyższe,parlamentarzysta,KO,32,Katowice,śląskie,15117,True,,,99.78
22,Rafał,Bochenek,1986-08-14,Kraków,wyższe,prawnik,PiS,12,Kraków,małopolskie,42142,True,,,95.3
23,Izabela,Bodnar,1975-02-13,Lubliniec,wyższe,ekonomista,Polska2050-TD,3,Wrocław,dolnośląskie,26404,True,,,94.85
24,Jacek,Bogucki,1959-02-13,Wysokie Mazowieckie,wyższe,inżynier mechanik,PiS,24,Białystok,podlaskie,12032,True,,,93.06
25,Zbigniew,Bogucki,1980-01-26,Góra,wyższe,adwokat,PiS,41,Szczecin,zachodniopomorskie,26375,True,,,89.26
26,Krzysztof,Bojarski,1968-07-11,Annopol,wyższe,lekarz,KO,6,Lublin,lubelskie,10672,True,,,87.47
27,Joanna,Borowiak,1967-08-20,Włocławek,wyższe,"nauczyciel, nauczyciel akademicki",PiS,5,Toruń,kujawsko-pomorskie,25995,True,,,97.09
28,Kamil,Bortniczuk,1983-06-11,Głuchołazy,wyższe,"menedżer, prawnik, urzędnik państwowy",PiS,16,Płock,mazowieckie,31555,True,,,84.79
29,Piotr,Borys,1976-01-11,Bolesławiec,wyższe,prawnik,KO,1,Legnica,dolnośląskie,44912,True,,,98.43
30,Bożena,Borys-Szopa,1954-03-11,Lędziny,wyższe,prawnik,PiS,29,Katowice,śląskie,30445,True,,,98.66
31,Marcin,Bosacki,1970-11-05,Poznań,wyższe,,KO,39,Poznań,wielkopolskie,24197,True,,,86.58
32,Karina,Bosak,1988-07-08,Szczecin,wyższe,adwokat,Konfederacja,20,Warszawa,mazowieckie,21217,True,,,82.1
33,Krzysztof,Bosak,1982-06-13,Zielona Góra,średnie ogólne,parlamentarzysta,Konfederacja,24,Białystok,podlaskie,44902,True,,,97.09
34,Grzegorz,Braun,1967-03-11,Toruń,wyższe,"publicysta, reżyser",Konfederacja,23,Rzeszów,podkarpackie,26895,True,,,80.09
35,Krzysztof,Brejza,1983-05-16,Bydgoszcz,wyższe,prawnik,KO,4,Bydgoszcz,kujawsko-pomorskie,89840,False,Zrzeczenie,Objął mandat posła do Parlamentu Europejskiego,93.88
36,Agnieszka,Buczyńska,1986-09-22,Tczew,wyższe,"politolog, socjolog",Polska2050-TD,25,Gdańsk,pomorskie,35213,True,,,72.48
37,Waldemar,Buda,1982-09-21,Turek,wyższe,radca prawny,PiS,9,Łódź,łódzkie,45474,True,,,88.59
38,Borys,Budka,1978-03-11,Czeladź,wyższe,"nauczyciel akademicki, radca prawny",KO,31,Katowice,śląskie,101258,True,,,97.99
39,Elżbieta,Burkiewicz,1964-10-17,Mielec,wyższe,przedsiębiorca prywatny,Polska2050-TD,23,Rzeszów,podkarpackie,11582,True,,,89.71
40,Lidia,Burzyńska,1964-08-27,Rzeki Wielkie,wyższe,nauczyciel,PiS,28,Częstochowa,śląskie,49713,True,,,96.42
41,Marek,Chmielewski,1962-05-06,Dzierżoniów,wyższe,technolog żywności,KO,2,Wałbrzych,dolnośląskie,9108,True,,,99.78
42,Zbigniew,Chmielowiec,1954-09-22,Kolbuszowa,wyższe,inżynier inżynierii środowiska,PiS,23,Rzeszów,podkarpackie,18574,True,,,85.68
43,Artur,Chojecki,1974-04-19,Elbląg,wyższe,urzędnik państwowy,PiS,35,Olsztyn,warmińsko-mazurskie,17418,True,,,95.97
44,Kazimierz,Choma,1957-12-16,Kraśnik,wyższe,zarządzanie zasobami ludzkimi,PiS,6,Lublin,lubelskie,8363,True,,,93.74
45,Dominika,Chorosińska,1978-12-29,Elbląg,wyższe,aktorka,PiS,20,Warszawa,mazowieckie,9582,True,,,72.71
46,Tadeusz,Chrzan,1963-09-14,Grodzisko Dolne,wyższe,geodeta,PiS,22,Krosno,podkarpackie,12184,True,,,94.41
47,Alicja,Chybicka,1951-05-10,Wałbrzych,wyższe,lekarz,KO,3,Wrocław,dolnośląskie,78816,True,,,100.0
48,Anna,Cicholska,1962-02-07,Ciechanów,wyższe,nauczyciel,PiS,16,Płock,mazowieckie,19074,True,,,69.13
49,Janusz,Cichoń,1957-01-07,Bytom,wyższe,"emeryt, nauczyciel akademicki",KO,35,Olsztyn,warmińsko-mazurskie,32356,True,,,98.43
50,Krzysztof,Ciecióra,1989-06-27,Radomsko,wyższe,,PiS,10,Piotrków Trybunalski,łódzkie,10426,True,,,97.54
51,Janusz,Cieszyński,1988-05-06,Wrocław,wyższe,menedżer,PiS,35,Olsztyn,warmińsko-mazurskie,20644,True,,,91.28
52,Michał,Cieślak,1974-12-09,Dąbrowa Tarnowska,wyższe,ekonomista,PiS,33,Kielce,świętokrzyskie,5629,True,,,75.84
53,Żaneta,Cwalina-Śliwowska,1978-12-10,Ostrołęka,wyższe,"pedagog, trener",Polska2050-TD,18,Siedlce,mazowieckie,9747,True,,,100.0
54,Krzysztof,Czarnecki,1957-10-25,Trzcianka,średnie zawodowe,technik budowlano-drogowy,PiS,38,Piła,wielkopolskie,37420,True,,,98.88
55,Witold,Czarnecki,1953-04-12,Murowana Goślina,wyższe,nauczyciel akademicki,PiS,37,Konin,wielkopolskie,17601,True,,,93.51
56,Przemysław,Czarnek,1977-06-11,Koło,wyższe,prawnik,PiS,6,Lublin,lubelskie,121686,True,,,83.22
57,Arkadiusz,Czartoryski,1966-04-14,Ostrołęka,wyższe,urzędnik samorządowy,PiS,18,Siedlce,mazowieckie,15845,True,,,95.97
58,Włodzimierz,Czarzasty,1960-05-03,Warszawa,wyższe,politolog,Lewica,32,Katowice,śląskie,22332,True,,,100.0
59,Jacek,Czerniak,1964-08-30,Świdnik,wyższe,politolog,Lewica,6,Lublin,lubelskie,10910,True,,,99.78
60,Zofia,Czernow,1950-09-30,Wola Obszańska,wyższe,ekonomista,KO,1,Legnica,dolnośląskie,30258,True,,,99.78
61,Anita,Czerwińska,1970-01-13,Warszawa,wyższe,prawnik,PiS,20,Warszawa,mazowieckie,18443,True,,,94.85
62,Katarzyna,Czochara,1969-11-03,Biała,wyższe,nauczyciel,PiS,21,Opole,opolskie,20004,True,,,27.29
63,Sławomir,Ćwik,1972-01-21,Zamość,wyższe,"menedżer, prawnik, przedsiębiorca prywatny",Polska2050-TD,7,Chełm,lubelskie,8004,True,,,98.88
64,Władysław,Dajczak,1959-07-10,Międzyrzec,wyższe,inżynier mechanik,PiS,8,Zielona Góra,lubuskie,29131,True,,,76.51
65,Anna,Dąbrowska-Banaszek,1961-04-14,Chełm,wyższe,lekarz,PiS,7,Chełm,lubelskie,13910,True,,,99.55
66,Zbigniew,Dolata,1965-12-01,Koźmin,wyższe,nauczyciel,PiS,37,Konin,wielkopolskie,25663,True,,,96.2
67,Barbara,Dolniak,1960-09-12,Bytom,wyższe,prawnik,KO,32,Katowice,śląskie,37470,True,,,99.55
68,Andrzej,Domański,1981-08-27,Kraków,wyższe,"doradca ds. ekonomicznych, ekonomista",KO,19,Warszawa,mazowieckie,6848,True,,,91.95
69,Bartłomiej,Dorywalski,1979-08-16,Włoszczowa,wyższe,radca prawny,PiS,33,Kielce,świętokrzyskie,9696,True,,,98.43
70,Robert,Dowhan,1967-07-14,Lubsko,wyższe,,KO,8,Zielona Góra,lubuskie,14761,True,,,66.67
71,Przemysław,Drabek,1979-10-02,Bielsko-Biała,wyższe,menedżer,PiS,27,Bielsko-Biała,śląskie,17886,True,,,94.41
72,Elżbieta,Duda,1962-11-20,Skała,średnie policealne/pomaturalne,parlamentarzysta,PiS,13,Kraków,małopolskie,11388,True,,,97.09
73,Michał,Dworczyk,1975-07-22,Warszawa,wyższe,"historyk, polityk",PiS,2,Wałbrzych,dolnośląskie,40264,True,,,69.35
74,Adam,Dziedzic,1969-09-26,Rzeszów,wyższe,inżynier mechanik,PSL-TD,23,Rzeszów,podkarpackie,24304,True,,,99.33
75,Jan,Dziedziczak,1981-08-03,Warszawa,wyższe,urzędnik państwowy,PiS,36,Kalisz,wielkopolskie,14689,True,,,88.59
76,Agnieszka,Dziemianowicz-Bąk,1984-01-20,Wrocław,wyższe,"filozof, pedagog",Lewica,26,Słupsk,pomorskie,30631,True,,,94.63
77,Magdalena,Filiks,1978-12-08,Barlinek,wyższe,ekonomista,KO,41,Szczecin,zachodniopomorskie,40772,True,,,96.42
78,Magdalena,Filipek-Sobczak,1983-09-07,Lublin,wyższe,prawnik,PiS,6,Lublin,lubelskie,10480,True,,,95.08
79,Radosław,Fogiel,1982-02-16,Radom,średnie ogólne,parlamentarzysta,PiS,17,Radom,mazowieckie,32791,True,,,80.98
80,Bronisław,Foltyn,1974-08-12,Bielsko-Biała,wyższe,przedsiębiorca prywatny,Konfederacja,27,Bielsko-Biała,śląskie,18134,True,,,89.04
81,Roman,Fritz,1966-01-03,Mikołów,wyższe,przedsiębiorca prywatny,Konfederacja,30,Bielsko-Biała,śląskie,11089,True,,,86.13
82,Joanna,Frydrych,1978-01-13,Krosno,wyższe,"ekonomista, pracownik administracji państwowej",KO,22,Krosno,podkarpackie,29681,True,,,99.78
83,Konrad,Frysztak,1986-02-15,Radom,wyższe,"dziennikarz, prawnik",KO,17,Radom,mazowieckie,25416,True,,,98.88
84,Patryk,Gabriel,1977-03-29,Gdańsk,wyższe,urzędnik samorządowy,KO,25,Gdańsk,pomorskie,11201,True,,,100.0
85,Krzysztof,Gadowski,1962-08-14,Bochnia,wyższe,inżynier transportu,KO,30,Bielsko-Biała,śląskie,36031,True,,,99.33
86,Aleksandra,Gajewska,1989-08-22,Warszawa,wyższe,przedsiębiorca prywatny,KO,19,Warszawa,mazowieckie,49428,True,,,99.33
